Source,URL,Mise à jour,Catégorie,Question,Réponse,,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,Qu’est-ce que le coronavirus COVID-19 ?,"Les coronavirus sont une famille de virus, qui provoquent des maladies allant d’un simple rhume (certains virus saisonniers sont des coronavirus) à des pathologies plus sévères comme le MERS-CoV ou le SRAS. 
Le virus identifié en janvier 2020 en Chine est un nouveau coronavirus, nommé SARS-CoV-2. La maladie provoquée par ce coronavirus a été nommée COVID-19 par l’Organisation mondiale de la Santé - OMS. Depuis le 11 mars 2020, l’OMS qualifie la situation mondiale du COVID-19 de pandémie ; c’est-à-dire que l’épidémie est désormais mondiale.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,D’où vient le coronavirus COVID-19 ? ,Les premières personnes à avoir contracté le virus s’étaient rendues au marché de Wuhan dans la Province de Hubei en Chine. La maladie semblerait donc venir d’un animal (zoonose) mais l’origine n’a pas été confirmée.,,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,Quel est la dangerosité du coronavirus ?,"Le coronavirus est dangereux pour trois raisons :
-	Il est tres contagieux : chaque personne infectée va contaminer au moins 3 personnes en l'absence de mesures de protection.
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,Comment faire du sport chez soi ? ,Les applications qui ont déjà conventionnées avec les fédérations sportives ainsi qu’avec le Comité National Olympique et Sportif Français, s’engagent à proposer gratuitement, dans les jours à venir, aux Françaises et aux Françaises leurs programmes conçus par des professionnels du sport, mais également de la santé et de l’activité physique adaptée. Des séances d’entraînement variées à base d’exercices de renforcement musculaire, proprioception, massages, stretching et mouvements fondamentaux seront notamment proposées en accès libre sur les différentes plateformes (mobile, tablette et ordinateur).,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,Puis-je continuer à pratiquer mon activité régulière comme la pêche, le cyclisme, le surf, le ski… ?,Non. Il est uniquement possible de pratiquer individuellement une activité physique de courte durée et à proximité de son domicile (rayon maximal d'un kilomètre autour du domicile), dans la limite d'une heure quotidienne, muni de son attestation de déplacement dérogatoire.,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,La pratique du vélo est-elle interdite ?,La pratique du vélo est autorisée comme moyens de déplacement pour aller au travail ou faire ses courses. En revanche, elle est interdite dans le cadre des loisirs et de l'activité physique individuelle. A l'exception des promenades pour aérer les enfants où il est toléré que les enfants soient à vélo ou trottinette, si l'adulte accompagnant est à pied.,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,A-t-on le droit d’aller son jardin pendant le confinement ?,Oui, tant que votre jardin est attenant à votre domicile et que vous n'avez pas besoin de sortir dans l'espace public pour vous y rendre.,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,Puis-je aller à l’hôtel ? ,Je peux rester dans un hôtel ou une cité universitaire si je n’ai pas d’autre domicile, mais leurs restaurants et bars doivent garder portes closes. Il est toutefois possible d'y prendre son petit déjeuner ou tout autre repas, mais uniquement en chambre.,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,Puis-je organiser une fête ?,Je ne peux pas aller à une fête ou recevoir chez moi en dehors des membres de mon foyer.,,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,Ma commission médicale obligatoire pour récupérer mon permis après suspension a été repoussée, que faire ?,Il faut attendre la fin de l'état d'urgence sanitaire pour pouvoir récupérer son permis de conduire.,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,Combien de personnes sont autorisées dans un même véhicule ? ,Le covoiturage est possible pour effectuer les déplacements autorisés. Chaque passager du véhicule doit être muni d’une attestation (ou d’un justificatif de déplacement professionnel) en règle.,,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,Est-ce que je peux rejoindre en voiture un pays européen pour voir de la famille ?,Non, cela n'est pas possible sauf motif familial impérieux.,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,Mes enfants sont en garde alternée, puis-je effectuer les allers-retours nécessaires pour aller les chercher ?,Oui, vous pouvez aller chercher vos enfants quelle que soit la distance. Il s’agit d’un déplacement pour motif familial impérieux.,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,Je dois accompagner mon conjoint malade qui n’a pas le permis à l’hôpital, est ce que je risque une amende ?,Non, cela rentre dans la catégorie des motifs familiaux impérieux à cocher sur l’attestation dérogatoire de déplacement.,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,Je travaille mais je n’ai pas de voiture, est ce qu’un parent peut m’accompagner ?,Oui, s'il n'y a pas d'autres solutions de transport, cela rentre dans la catégorie des motifs familiaux impérieux à cocher sur l’attestation dérogatoire de déplacement.,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,La conduite accompagnée est-elle autorisée ?,La conduite accompagnée reste autorisée.,,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,Les vols internes à la France sont-ils maintenus ?,Afin de permettre la poursuite de l’activité économique et les déplacements autorisés limitativement, en respectant les précautions des gestes barrières, certains vols sont maintenus.,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,Pourquoi les trains continuent-ils de circuler ? ,Afin de permettre la poursuite de l’activité économique et les déplacements autorisés limitativement, en respectant les précautions des gestes-barrières, certaines liaisons ferroviaires diminuent leur fréquence mais la majorité des liaisons sont maintenues.,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,A-t-on le droit de prendre un train pour un déplacement professionnel ?,Oui. A condition qu'il s'agisse d'un déplacement professionnel indispensable et ne pouvant être différé.,,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,Peut-on aller chercher des proches à la gare ? ,Sauf nécessité pour porter assistance à des personnes ne pouvant se déplacer seules (personne à mobilité réduite, enfants…) vous ne devez pas aller accueillir vos proches dans les gares et aéroports.,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,Puis-je prendre les transports ? ,Les transports seront ouverts qu’aux personnes dans l’obligation de se rendre sur le lieu de travail. Une attestation pourra leur être demandée. ,,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,La fermeture du métro est-elle envisagée ?,Non. Pour permettre la poursuite de l’activité économique et les déplacements autorisés, les liaisons ferroviaires et les lignes de métro diminuent leur fréquence mais la majorité des liaisons sont maintenues. Le métro peut être utilisé à condition qu'il s'agisse effectivement d'un déplacement autorisé dans le cadre des restrictions imposées par le confinement (déplacement pour activité professionnelle, consultations et soins ne pouvant être différés, motif familial impérieux).,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,Puis-je partir en vacances en France ?,Non, partir en vacances, se rendre dans sa résidence secondaire ou une résidence de location ne font pas partie des déplacements autorisés.,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,Les vacanciers en station de ski peuvent-ils rentrer chez eux ou doivent-ils rester sur place ?,Oui, ils peuvent rentrer chez eux en invoquant le motif impérieux sur l'attestation dérogatoire de déplacement.,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,Si je suis actuellement confiné dans un lieu qui n'est pas ma résidence principale, ai-je le droit de rentrer chez moi ?,Si vous avez choisi de débuter la période de confinement dans votre résidence secondaire, vous devez y rester. Seule la fin d'un bail de location est un motif impérieux pour rentrer dans votre résidence principale.,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,Combien de commissariats fermés par précaution ? ,Les commissariats ouverts au public 24h/24h le resteront, seuls les bureaux de police qui offraient un accueil limité en journée sont fermés. Il est néanmoins conseillé de prendre attache avec le 17 afin de pouvoir disposer d’informations permettant soit de reporter votre déplacement soit d’effectuer des démarches en ligne. ,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,Pourquoi les distances de sécurité sont-elles si importantes à respecter dans la rue et au supermarché avec les inconnus, puisqu’on nous dit qu’il faut un quart d’heure en face à face à moins d’un mètre pour avoir un risque de transmission ? ,Il s’agit d’une mesure de précaution, car le risque zéro n’existe pas. Rester à proximité de plusieurs personnes possiblement atteintes du COVID-19 pendant un total de 15 minutes s'apparente à la situation de rester 15 minutes en contact étroit avec une seule personne potentiellement atteinte. Il convient donc de respecter des distances de sécurité d’au moins 1 mètre, quelle que soit la durée du contact, afin de limiter tout risque de transmission du virus.,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Sorties et déplacements,Pourquoi maintenir le confinement pour les personnes sans symptôme après la quatorzaine Pourquoi maintenir le confinement pour les personnes sans symptôme après la quatorzaine ?,Après la quatorzaine, certaines personnes sans symptômes seront toujours infectées, ce sont les cas “asymptomatiques”. Elles sont toujours à risque de contaminer les autres, bien que ce risque soit plus faible que les malades symptomatiques. Sortir trop tôt du confinement est donc à risque de recréer des foyers de contamination. Le Conseil Scientifique évalue la meilleure durée de confinement pour protéger au mieux la population, notamment les plus fragiles, et notre système de santé.,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Logement,En tant que particulier, puis-je encore déménager malgré le confinement ?,"Pour ce qui concerne les déménagements des particuliers, seuls les déménagements qui ne peuvent pas être reportés sont autorisés.
Mais veillez à respecter les gestes barrières et prenez l'attache de la police pour signaler votre déménagement et vous renseigner pour savoir s'il existe des restrictions locales spécifiques. Munissez-vous également d'une attestation sur l'honneur, que vous rédigez, expliquant que vous vous déplacez pour le motif d'un déménagement non reportable, dont vous précisez la date et les deux adresses de départ et de destination. Vous pouvez aussi entrer en contact avec votre bailleur afin de lui demander de continuer à occuper le logement que vous deviez quitter. Il est alors possible de signer une convention d'occupation temporaire. Dans tous les cas, à partir du moment où vous restez plus longtemps que prévu, vous devez continuer à payer votre loyer et les charges pour toute la période pendant laquelle vous occupez effectivement le logement.",,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Logement,Puis-je réaliser l'état des lieux d'entrée et de sortie ?,"Oui, sous réserve du respect de gestes « barrières » et du respect de la distanciation sociale d’un mètre.
Si vous le pouvez, au regard de la situation actuelle, il est préférable de repousser la tenue des états des lieux jusqu’à la fin des mesures de confinement.
Toutefois, s’il n’est pas possible de différer l’état des lieux :
-	vous pouvez faire appel à un huissier de justice, sous réserve de sa disponibilité ;
-	l’état des lieux peut se tenir par voie dématérialisée. Il est recommandé au bailleur et au locataire de préserver tout élément de preuve de l’état du logement : photos, vidéos…
-	en sortie du logement, les clefs peuvent être remises par lettre recommandée avec avis de réception.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Logement,En tant que particulier, puis-je faire appel à une entreprise de déménagement ?,En règle générale, non. La possibilité de recourir à un déménageur professionnel n'est maintenue que pour des situations très exceptionnelles.,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Logement,J’ai donné mon préavis et je dois quitter le logement qu’est-ce qui se passe ?,"J’ai donné mon préavis et je dois quitter le logement qu’est-ce qui se passe ?
Si vous souhaitez rester dans votre logement plus longtemps, jusqu’à la fin de la période de confinement, vous pouvez en faire la demande à votre propriétaire. S’il est d’accord, il vous faudra alors signer une « convention d’occupation précaire » avec votre propriétaire pour contractualiser cet accord temporaire. Si la signature de ce document pose des difficultés, un échange d’emails peut suffire comme preuve écrite de l’accord trouvé entre le propriétaire et le locataire. Il vous faudra continuer à payer votre loyer.
Convention d’occupation temporaire : ce contrat permet au locataire de rester temporairement dans le logement, moyennant une contrepartie financière, qui s’élève généralement au montant du loyer et des charges. La convention précisera le contexte très exceptionnel de la situation (crise du Coronavirus) et les principaux éléments de la mise à disposition du logement (montant des sommes dues par le locataire / modalités pour sortir du logement à la fin du confinement). ",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Logement,Si je suis contraint de rester dans mon logement alors que mon préavis est arrivé à son terme, dois-je continuer à payer mon loyer ?,Oui, vous devez continuer à payer votre loyer pour toute la période où vous occupez le logement.,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Logement,Si je devais déménager mais que je reste finalement dans mon logement précédent, dois-je payer le loyer de mon nouvel appartement dans lequel je devais emménager ?,"Oui, selon la loi le locataire doit respecter le contrat de location qu’il a signé et donc payer le loyer. Néanmoins, s’il vous est impossible d’emménager dans votre nouveau logement, vous pouvez vous mettre d’accord avec le propriétaire pour reporter la date de début de location.
Si vous n'arrivez pas à trouver un accord amiable, vous pouvez vous tourner vers l'Agence nationale pour l'Information sur le Logement (ANIL) à travers les conseillers juristes des Agences départementales (ADIL), qui vous accompagneront et vous aideront à trouver des solutions.",,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Logement,Si nous ne trouvons pas d'accord, mon propriétaire peut-il m'expulser ?,"En cas de conflit avec votre propriétaire, l'Agence Nationale pour l'Information sur le Logement (ANIL) - à travers les conseillers juristes des Agences départementales (ADIL) - peuvent vous accompagner pour vous aider à trouver une solution selon votre cas.
Si l’expulsion est demandée par le propriétaire, cela suppose d'abord une décision de justice, qui ne sera pas rendue avant plusieurs mois. En outre, la “trêve hivernale”, a été exceptionnellement prolongée jusqu’au 31 mai. C’est-à-dire que jusqu’à cette date aucune expulsion de locataire ne peut être exécutée. Dans tous les cas, si j’occupe le logement, je dois continuer à payer le loyer.",,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Logement,J’ai signé une promesse de vente avant le confinement, le processus d’achat continue-t-il ?,Le délai de signature devant notaire court à compter de la signature de la promesse de vente. A l’issue de celui-ci, la promesse de vente n’est pas caduque, tant qu’au total cette période n’excède pas 18 mois. L’impossibilité de signature devant notaire liée au confinement ne remet pas en cause la promesse de vente.,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Logement,Suis-je autorisé à me déplacer pour remettre des clés dans le cadre de la plateforme Appart Solidaire d'Airbnb ou toute autre initiative solidaire ?,"Oui sous réserve de produire les 3 pièces ci-dessous :
-	une attestation de déplacement dérogatoire (et cocher la case «  Participation à des missions d'intérêt général sur demande de l'autorité administrative » ;
-	une attestation sur l'honneur qu'ils se déplacent à l'adresse du logement mis à disposition pour remettre les clés à un personnel soignant ou un travailleur ou bénévole d'un centre d'hébergement
-	la preuve de la réservation du logement (la confirmation numérique provenant de Airbnb ou la copie du contrat de bail peuvent être présentés sur smartphone).",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Logement,Je suis propriétaire et mon nouveau locataire ne peut pas emménager : vu l'incertitude concernant la fin de la période de confinement, puis-je proposer au locataire une rupture du contrat de location sans préavis ?,Non, à moins que votre locataire soit également d’accord.,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Logement,Peut-on tenir des assemblées générales de copropriété à distance, notamment pour des réunions qui doivent se tenir urgemment, ou faut-il attendre la levée des mesures de restriction des déplacements pour convoquer une AG ?,"Pour tenir une assemblée générale à distance, il faut que votre assemblée générale ait déjà voté cette possibilité avant la crise. Dans le cas inverse, ce ne sera pas possible.
Une ordonnance prévoit que le contrat de votre syndic qui aurait dû expirer pendant la période de confinement est prolongé jusqu’à ce qu’une prochaine AG puisse se tenir (au plus tard le 31 décembre 2020).",,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Logement,Les gardiens / concierges d'immeubles peuvent-ils continuer de travailler ?,Les gardiens / concierges d’immeubles peuvent continuer à travailler en respectant les consignes sanitaires, et notamment les mesures barrière et les mesures de distances sanitaires avec les habitants de l’immeuble.,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Logement,J'ai acheté un logement. La signature de l'acte authentique a lieu dans les prochains jours. La signature électronique est-elle valable ?,La signature électronique est techniquement possible et le ministère travaille à la faciliter. Vous pouvez prendre contact avec le notaire qui vous indiquera les conditions dans lesquelles il est possible de signer de manière électronique.,,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Logement,Si la signature électronique n'est pas possible, est ce que le motif vaut autorisation de déplacement ?,Ce cas ne fait pas pour l’instant partie des cas permettant une dérogation de sortie. Vous pouvez prendre contact avec votre notaire pour demander à reporter la date de signature.,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Logement,Le paiement des loyers des logements est-t-il suspendu, comme pour les petites entreprises ?,Les mesures que le Président de la République a annoncées le 16 mars ne concernent que les plus petites entreprises en difficulté, ce qui signifie les loyers d’habitation doivent continuer à être payés.,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Logement,Mes revenus vont baisser en mars et je serai en difficulté pour payer mon loyer : que puis-je faire ? Vers qui puis-je me tourner ?,Si vous rencontrez des difficultés à payer votre loyer, il est recommandé de contacter rapidement votre propriétaire pour lui expliquer la situation et voir avec lui si un report et un étalement du paiement du loyer sont possibles. Si vous n’arrivez pas à trouver un accord amiable, vous pouvez vous tourner vers l’Agence nationale pour l’Information sur le Logement (ANIL) dont les conseillers juridiques vous accompagneront et vous aideront à trouver des solutions.,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Gestion des déchets,Ai-je le droit d'aller au container de tri sélectif situé à plusieurs mètres de mon domicile ou à une déchetterie et que dois-je cocher sur l'attestation ?,Oui, cela est autorisé. Il faut se munir de son attestation de déplacement dérogatoire en cochant la case « déplacement pour effectuer des achats de première nécessité ».,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Gestion des déchets,Mes emballages vont directement dans la « poubelle jaune » sans sac poubelle : y a-t-il des consignes spécifiques à suivre pour ces déchets tout au long de la crise sanitaire ?,Vous pouvez continuer à jeter vos emballages de la même manière qu’habituellement. Attention, nous rappelons que les masques, les gants, les mouchoirs et les lingettes nettoyantes ne doivent pas être jetés dans la poubelle jaune, mais dans la poubelle à ordures ménagères.,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Gestion des déchets,Où jeter mes mouchoirs, masques, gants et lingettes de nettoyage que j’utilise chez moi ?,"Il est recommandé de jeter vos mouchoirs, masques et gants et lingettes de nettoyage dans un sac plastique dédié, résistant et disposant d’un système de fermeture fonctionnel. Ce sac doit être soigneusement refermé puis conservé 24 heures avant d’être placé dans le sac plastique pour ordures ménagères.
Attention, aucun de ces produits ne doit être jeté dans la poubelle jaune, dans le compost ou dans la nature, même si vous n’êtes pas malade !
Pour les professionnels de santé et les personnes malades confinées chez elles, il est nécessaire de suivre les recommandations du ministère des Solidarités de la Santé pour la gestion de vos déchets.",,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Gestion des déchets,Les déchets vont-ils continuer à être collectés normalement ? Les centres de tri fonctionnent-ils normalement malgré la crise ?,"Les collectivités locales et les entreprises se mobilisent chaque jour pour continuer d'assurer la collecte et le traitement des déchets, qui sont des activités indispensables au bon fonctionnement de la société française.
Des adaptations des modalités de collecte sont mises en place, au cas par cas, sur les différents territoires, en fonction de la disponibilité du personnel :
- Une grande partie des déchetteries des collectivités sont désormais fermées au public, en cohérence avec les mesures de confinement des populations édictées par le Gouvernement. Cette fermeture permet par ailleurs de libérer du personnel pour contribuer aux tâches de collecte des ordures ménagères ;
- La collecte des ordures ménagères résiduelles se poursuit normalement à ce jour ;
- La collecte sélective des emballages ménagers est globalement maintenue sur le territoire français.
Il est nécessaire de maintenir, aussi longtemps que possible, la collecte séparée des déchets ménagers (emballage, papier/carton, verre) et l’activité des centres de tri des déchets ménagers. Ces activités permettent également d’alimenter les chaînes d’approvisionnement d’autres industries.
N'hésitez pas à consulter régulièrement le site internet de votre commune ou de votre intercommunalité.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Gestion des déchets,Quelles sont les règles à respecter pour les agents qui collectent les déchets ?,La préoccupation constante du Gouvernement est d’assurer la protection des agents grâce à la mise en place d’une organisation du travail qui permette le respect des gestes barrières. Un travail étroit est mené entre le ministère de la Transition écologique et solidaire, le ministère des Solidarités et de la Santé et les fédérations professionnelles pour adopter les règles appropriées pour chaque métier au sein de la chaîne des déchets (ces règles ne sont pas les mêmes pour la collecte des déchets ménagers ou de déchets plus spécifiques, pour les chaînes de tri, pour l'incinération, etc.).,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Gestion des déchets,Que faire de mes déchets verts ?,Si votre déchetterie est fermée, vous pouvez stocker vos déchets verts en attendant qu’elles rouvrent, ou profiter de ces semaines de confinement pour commencer à réaliser votre propre compost et entrer dans la boucle de l’économie circulaire !,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Gestion des déchets,Je profite de ce temps libre pour faire du tri dans mon garage. Que faire des encombrants si la déchetterie la plus proche de chez moi est fermée ?,"Si votre déchetterie est fermée, nous vous invitons à stocker vos encombrants chez vous en attendant sa réouverture.
Si votre collectivité vous informe en revanche que votre déchetterie reste ouverte pour les particuliers, vous pouvez vous y rendre en étant muni de votre attestation de déplacement dérogatoire en cochant la case « déplacement pour effectuer des achats de première nécessité ».
Dans tous les cas, il vous est conseillé de consulter régulièrement le site internet de votre commune ou de votre intercommunalité pour connaître les règles relatives aux déchets encombrants et vous ne devez en aucun cas les laisser dans la nature ou sur le trottoir (sanction allant jusqu'à 1500€ et la confiscation du véhicule).",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Gestion des déchets,Je fais du tri dans mes vêtements. Puis-je continuer à les déposer dans des bornes type Relay ?,Certains acteurs n’étant pas en mesure d’effectuer la collecte, il est préférable de les mettre de côté et d’attendre la fin du confinement pour les déposer dans les différents points de collecte.,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Santé,Puis-je me rendre chez un professionnel de santé ?,"À l'instar des pharmacies, les cabinets de médecine resteront ouverts mais attention : il est demandé aux personnes qui ressentent les symptômes du Coronavirus de ne pas se rendre au cabinet de leur médecin de ville. En cas de symptômes légers (fièvre et toux), il faut d’abord appeler son médecin traitant ou opter pour une téléconsultation. Si les symptômes s’aggravent au bout de quelques jours, comme avec l'apparition de difficultés respiratoires, il faut appeler le 15.
Les commerces de matériel médical restent ouverts vous pouvez donc vous rendre chez l’opticien par exemple. ",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Santé,Je suis enceinte, vais-je devoir accoucher chez moi ?,"Non, vous pouvez vous rendre comme prévu à votre maternité, en cochant la case ""motif de santé"" sur votre attestation dérogatoire.",,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Santé,Je n’ai plus de pilule contraceptive, comment faire ? ,Suite au décret paru au Journal Officiel le 15 mars dernier relatif aux mesures mises en place par le Gouvernement pour lutter contre la propagation du coronavirus, les Françaises et les Français peuvent se voir délivrer leurs médicaments jusqu’au 31 mai, et ce sans renouvellement d’ordonnance. Ainsi, les pharmaciens sont autorisés à délivrer la pilule contraceptive aux femmes dans l'impossibilité de faire renouveler leur ordonnance, sur simple présentation de leur ancienne ordonnance. ,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Santé,Les centres d’interruption volontaire de grossesse (IVG) sont-ils ouverts ? ,"Les médecins en ville et les sages-femmes sont autorisés à conseiller les femmes et leurs partenaires sur les questions de contraception. Ces mêmes professionnels conventionnés avec un établissement de santé sont habilités à réaliser des IVG médicamenteuses sans passer par l’hôpital.
Les interruptions de grossesse sont considérées comme des interventions urgentes par le ministère des Solidarités et de la Santé. Leur continuité doit être assurée. Le Planning Familial maintient son numéro vert, 0800 08 11 11, pour répondre à toute question à ce propos.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Santé,Puis-je donner mon sang même si le centre se trouve à plusieurs kilomètres de chez moi ?,Oui. Se déplacer pour donner son sang est autorisé. Il convient d'indiquer un déplacement pour motif de santé.,,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Santé,Puis- je me faire opérer ?,"Toutes les capacités hospitalières nationales et le maximum de médecins et de soignants sont mobilisés, et les consultations et les soins ""non essentiels"" sont reportés dans les hôpitaux.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Santé,Je suis atteinte d’une tumeur au cerveau et je devais bénéficier d’un traitement expérimental aux Etats-Unis. Comment m’y rendre avec le confinement ?,Il s'agit d'un déplacement autorisé pour motif de santé. Il vous est cependant vivement conseillé de vous renseigner sur le site du ministère de l'Europe et des Affaires étrangères pour suivre les recommandations et les restrictions mises en place par les autorités américaines.,,,,,,,,,,,,,,,,,,,,
